slice,n,fraud_rate,PR_AUC,recall,fp_per_1k
amt_band=Q3,3026,0.0036351619299405157,0.8188427567145347,0.8181818181818182,0.0
card4=mastercard,4397,0.017966795542415284,0.9280907799344245,0.9873417721518988,1.1579434923575729
amt_band=Q4,3027,0.041295011562603234,0.9316761048003862,0.984,2.412129565816678
card4=visa,5352,0.023168908819133034,0.937644511490888,0.9758064516129032,0.9563886763580719
night=06-24,9113,0.021068802809173708,0.9396396136639665,0.9791666666666666,0.8967604528640287
acct=returning,11252,0.01182012086740135,0.9415086131412586,0.9774436090225563,0.44968072668405434
acct=new,855,0.14035087719298245,0.9452362573099414,0.9916666666666667,8.16326530612245
night=00-06,2994,0.020374081496325986,0.953125,1.0,1.0228435049437437
amt_band=Q1,3027,0.0383217707300958,0.9666666666666667,1.0,1.374098248024734
card4=rupay,1984,0.021673387096774195,0.9772727272727273,1.0,0.5151983513652757
amt_band=Q2,3027,0.0003303600925008259,1.0,1.0,0.0
card4=amex,374,0.01871657754010695,1.0,1.0,0.0
